315579467	1980-01-01 13:57:47	off
315579508	1980-01-01 13:58:28	on
315579517	1980-01-01 13:58:37	off
315579551	1980-01-01 13:59:11	on
315579566	1980-01-01 13:59:26	off
315579577	1980-01-01 13:59:37	on
315579579	1980-01-01 13:59:39	off
315579627	1980-01-01 14:00:27	on
315579638	1980-01-01 14:00:38	off
315579667	1980-01-01 14:01:07	on
315579673	1980-01-01 14:01:13	off
315579856	1980-01-01 14:04:16	off
315579866	1980-01-01 14:04:26	on
315579868	1980-01-01 14:04:28	off
315580052	1980-01-01 14:07:32	on
315580055	1980-01-01 14:07:35	off
315580083	1980-01-01 14:08:03	on
315580086	1980-01-01 14:08:06	off
315580128	1980-01-01 14:08:48	on
315580129	1980-01-01 14:08:49	off
