315580751	1980-01-01 14:19:11	on
315580753	1980-01-01 14:19:13	off
315580753	1980-01-01 14:19:13	on
315580753	1980-01-01 14:19:13	off
315580846	1980-01-01 14:20:46	on
315580876	1980-01-01 14:21:16	off
315580881	1980-01-01 14:21:21	on
315580882	1980-01-01 14:21:22	off
315580887	1980-01-01 14:21:27	on
315580891	1980-01-01 14:21:31	off
315580902	1980-01-01 14:21:42	on
315580909	1980-01-01 14:21:49	off
315580913	1980-01-01 14:21:53	on
315580919	1980-01-01 14:21:59	off
315580927	1980-01-01 14:22:07	on
315580930	1980-01-01 14:22:10	off
315580932	1980-01-01 14:22:12	on
315580937	1980-01-01 14:22:17	off
315580938	1980-01-01 14:22:18	on
315580941	1980-01-01 14:22:21	off
