315581911	1980-01-01 14:38:31	on
315581953	1980-01-01 14:39:13	off
315581958	1980-01-01 14:39:18	on
315581977	1980-01-01 14:39:37	off
315581978	1980-01-01 14:39:38	on
315581983	1980-01-01 14:39:43	off
315582051	1980-01-01 14:40:51	on
315582055	1980-01-01 14:40:55	off
315582056	1980-01-01 14:40:56	on
315582060	1980-01-01 14:41:00	off
315582062	1980-01-01 14:41:02	on
315582064	1980-01-01 14:41:04	off
315582066	1980-01-01 14:41:06	on
315582073	1980-01-01 14:41:13	off
315582074	1980-01-01 14:41:14	on
315582102	1980-01-01 14:41:42	off
315582106	1980-01-01 14:41:46	on
315582113	1980-01-01 14:41:53	off
315582148	1980-01-01 14:42:28	on
315582162	1980-01-01 14:42:42	off
315582196	1980-01-01 14:43:16	on
315582203	1980-01-01 14:43:23	off
