315576002	10	-10
315576003	10	-10
315576004	2.678	2.725
315576005	2.674	2.725
315576006	2.576	2.674
315576007	2.576	3.142
315576008	2.711	3.142
315576009	2.711	2.964
315576010	2.964	3.058
315576011	3.058	3.058
315576012	3.058	3.058
315576013	3.184	3.208
315576014	3.184	3.208
315576015	10	-10
315576016	10	-10
315576017	10	-10
315576018	4.093	4.093
315576019	4.093	4.093
315576020	10	-10
315576021	10	-10
315576022	10	-10
315576023	4.608	4.608
315576024	4.608	4.608
315576025	10	-10
315576026	10	-10
315576027	10	-10
315576028	4.898	4.898
315576029	4.898	4.898
315576030	10	-10
315576031	10	-10
315576032	10	-10
315576033	4.599	4.599
315576034	4.599	4.599
315576035	10	-10
315576036	10	-10
315576037	4.491	4.491
315576038	4.491	4.491
315576039	10	-10
315576040	10	-10
315576041	10	-10
315576042	10	-10
315576043	5.578	5.578
315576044	5.578	5.578
315576045	10	-10
315576046	10	-10
315576047	10	-10
315576048	4.997	4.997
315576049	4.997	4.997
315576050	10	-10
315576051	10	-10
315576052	10	-10
315576053	4.214	4.214
315576054	4.214	4.214
315576055	10	-10
315576056	10	-10
315576057	10	-10
315576058	4.383	4.383
315576059	4.383	4.618
315576060	4.519	4.618
315576061	4.519	4.519
315576062	4.847	5.011
315576063	4.763	5.18
315576064	4.763	5.18
315576065	10	-10
315576066	10	-10
315576067	10	-10
315576068	4.992	5.002
315576069	4.992	5.002
315576070	10	-10
315576071	10	-10
315576072	10	-10
315576073	4.421	4.421
315576074	4.421	4.421
315576075	10	-10
315576076	10	-10
315576077	10	-10
315576078	4.051	4.051
315576079	4.051	4.051
315576080	10	-10
315576081	10	-10
315576082	10	-10
315576083	2.814	2.814
315576084	2.814	2.814
315576085	10	-10
315576086	10	-10
315576087	10	-10
315576088	2.487	2.487
315576089	2.487	2.487
315576090	10	-10
315576091	10	-10
315576092	10	-10
315576093	1.855	1.855
315576094	1.855	1.855
315576095	10	-10
315576096	10	-10
315576097	10	-10
315576098	1.058	1.058
315576099	1.058	1.058
315576100	10	-10
315576101	10	-10
315576102	10	-10
315576103	1.798	1.798
315576104	1.798	1.798
315576105	10	-10
315576106	10	-10
315576107	10	-10
315576108	2.309	2.309
315576109	2.309	2.309
315576110	10	-10
315576111	10	-10
315576112	10	-10
315576113	2.828	2.828
315576114	2.828	2.828
315576115	10	-10
315576116	10	-10
315576117	10	-10
315576118	3.255	3.255
315576119	3.255	3.255
315576120	10	-10
315576121	10	-10
315576122	10	-10
315576123	3.933	3.933
315576124	3.001	3.933
315576125	3.001	3.179
315576126	2.931	3.179
315576127	2.931	3.769
315576128	3.479	3.891
315576129	3.531	4.004
315576130	3.484	4.004
315576131	3.484	3.545
315576132	3.512	3.531
315576133	3.502	3.526
315576134	3.502	3.526
315576135	10	-10
315576136	10	-10
315576137	10	-10
315576138	3.531	3.531
315576139	3.531	3.531
315576140	10	-10
315576141	3.001	3.058
315576142	2.88	3.058
315576143	2.744	2.964
315576144	2.744	3.311
315576145	2.997	3.311
315576146	3.226	3.292
315576147	3.226	3.334
315576148	3.217	3.334
315576149	3.217	3.325
315576150	3.325	3.325
315576151	10	-10
315576152	10	-10
315576153	3.194	3.362
315576154	2.791	3.362
315576155	2.346	3.043
315576156	2.346	2.646
315576157	2.421	2.477
315576158	2.449	2.477
315576159	2.463	2.477
315576160	10	-10
315576161	10	-10
315576162	10	-10
315576163	2.566	2.566
315576164	2.566	2.566
315576165	2.361	2.468
315576166	2.361	2.711
315576167	2.543	2.777
315576168	2.777	3.086
315576169	2.805	3.395
315576170	3.179	3.395
315576171	3.325	3.386
315576172	3.325	3.386
315576173	3.264	3.297
315576174	3.264	3.297
315576175	10	-10
315576176	3.283	3.348
315576177	2.623	3.348
315576178	2.623	2.753
315576179	2.107	2.758
315576180	2.074	2.758
315576181	2.074	2.618
315576182	2.117	2.618
315576183	2.833	3.17
315576184	2.81	3.17
315576185	2.59	2.987
315576186	2.501	2.861
315576187	2.501	3.372
315576188	2.454	3.372
315576189	2.454	2.735
315576190	2.669	2.739
315576191	2.739	2.739
315576192	2.665	2.678
315576193	2.665	3.156
315576194	2.702	3.156
315576195	2.702	2.739
315576196	2.739	2.739
315576197	2.51	2.945
315576198	2.51	2.945
315576199	2.791	2.95
315576200	2.791	2.95
315576201	2.861	3.184
315576202	3.025	3.184
315576203	3.118	3.395
315576204	3.353	3.395
315576205	10	-10
315576206	10	-10
315576207	10	-10
315576208	2.786	2.786
315576209	2.786	2.786
315576210	10	-10
315576211	10	-10
315576212	10	-10
315576213	2.295	2.295
315576214	2.295	2.295
315576215	10	-10
315576216	10	-10
315576217	10	-10
315576218	3.043	3.043
315576219	3.043	3.043
315576220	10	-10
315576221	10	-10
315576222	10	-10
315576223	4.566	4.566
315576224	4.566	4.566
315576225	10	-10
315576226	10	-10
315576227	10	-10
315576228	4.711	4.711
315576229	4.711	4.711
315576230	10	-10
315576231	10	-10
315576232	10	-10
315576233	10	-10
315576234	10	-10
315576235	10	-10
315576236	10	-10
315576237	4.922	4.922
315576238	4.754	4.922
315576239	4.754	4.754
315576240	10	-10
315576241	10	-10
315576242	10	-10
315576243	4.467	4.467
315576244	4.467	4.467
315576245	10	-10
315576246	10	-10
315576247	10	-10
315576248	4.664	4.664
315576249	4.664	4.664
315576250	10	-10
315576251	10	-10
315576252	10	-10
315576253	4.065	4.065
315576254	4.065	4.065
315576255	10	-10
315576256	10	-10
315576257	10	-10
315576258	2.795	2.795
315576259	2.795	2.795
315576260	10	-10
315576261	10	-10
315576262	10	-10
315576263	1.859	1.859
315576264	1.859	1.859
315576265	10	-10
315576266	10	-10
315576267	10	-10
315576268	1.901	1.901
315576269	1.901	1.901
315576270	10	-10
315576271	10	-10
315576272	10	-10
315576273	2.454	2.454
315576274	2.454	2.454
315576275	10	-10
315576276	10	-10
315576277	10	-10
315576278	3.358	3.358
315576279	3.358	3.358
315576280	10	-10
315576281	10	-10
315576282	10	-10
315576283	3.68	3.68
315576284	3.68	3.68
315576285	10	-10
315576286	2.903	2.903
315576287	2.903	3.02
315576288	2.936	3.02
315576289	2.903	3.273
315576290	2.903	3.582
315576291	3.549	3.582
315576292	3.442	3.554
315576293	3.381	3.512
315576294	3.381	3.512
315576295	10	-10
315576296	10	-10
315576297	10	-10
315576298	2.987	3.746
315576299	2.987	3.746
315576300	3.015	3.339
315576301	3.245	3.339
315576302	3.245	3.315
315576303	3.255	3.315
315576304	3.255	3.311
315576305	3.306	3.427
315576306	3.427	3.427
315576307	10	-10
315576308	3.498	3.512
315576309	3.498	3.512
315576310	10	-10
315576311	10	-10
315576312	10	-10
315576313	10	-10
315576314	10	-10
315576315	3.123	3.123
315576316	3.123	3.123
315576317	10	-10
315576318	2.117	2.117
315576319	2.117	2.117
315576320	10	-10
315576321	10	-10
315576322	10	-10
315576323	1.363	1.363
315576324	1.363	1.363
315576325	10	-10
315576326	10	-10
315576327	10	-10
315576328	1.826	1.826
315576329	1.826	1.826
315576330	10	-10
315576331	10	-10
315576332	10	-10
315576333	2.22	2.22
315576334	2.22	2.22
315576335	10	-10
315576336	10	-10
315576337	10	-10
315576338	2.749	2.749
315576339	2.749	2.749
315576340	10	-10
315576341	10	-10
315576342	10	-10
315576343	3.413	3.413
315576344	3.413	3.413
315576345	10	-10
315576346	10	-10
315576347	10	-10
315576348	3.962	3.962
315576349	3.962	3.962
315576350	10	-10
315576351	10	-10
315576352	10	-10
315576353	10	-10
315576354	10	-10
315576355	10	-10
315576356	10	-10
315576357	10	-10
315576358	4.857	4.857
315576359	4.857	4.857
315576360	10	-10
315576361	10	-10
315576362	10	-10
315576363	4.547	4.547
315576364	4.547	4.547
315576365	10	-10
315576366	10	-10
315576367	4.289	4.289
315576368	3.872	4.289
315576369	3.391	4.214
315576370	3.175	4.214
315576371	2.744	3.175
315576372	2.744	3.161
315576373	2.936	3.372
315576374	3.236	3.372
315576375	10	-10
315576376	10	-10
315576377	10	-10
315576378	2.529	2.529
315576379	2.529	2.529
315576380	10	-10
315576381	10	-10
315576382	10	-10
315576383	2.908	2.908
315576384	2.908	2.908
315576385	10	-10
315576386	10	-10
315576387	10	-10
315576388	10	-10
315576389	10	-10
315576390	10	-10
315576391	10	-10
315576392	10	-10
315576393	3.741	3.741
315576394	3.741	3.741
315576395	10	-10
315576396	4.177	4.289
315576397	4.177	4.289
315576398	4.477	4.716
315576399	4.477	4.716
315576400	4.088	4.622
315576401	4.088	4.139
315576402	10	-10
315576403	10	-10
315576404	10	-10
315576405	10	-10
315576406	10	-10
315576407	10	-10
315576408	4.247	4.247
315576409	4.247	4.247
315576410	10	-10
315576411	10	-10
315576412	10	-10
315576413	4.275	4.275
315576414	4.275	4.275
315576415	10	-10
315576416	10	-10
315576417	10	-10
315576418	3.582	3.582
315576419	3.582	3.582
315576420	10	-10
315576421	10	-10
315576422	10	-10
315576423	3.423	3.423
315576424	3.423	3.423
315576425	10	-10
315576426	10	-10
315576427	10	-10
315576428	2.257	2.257
315576429	2.257	2.257
315576430	10	-10
315576431	10	-10
315576432	10	-10
315576433	1.429	1.429
315576434	1.429	1.429
315576435	10	-10
315576436	10	-10
315576437	10	-10
315576438	1.723	1.723
315576439	1.723	1.723
315576440	10	-10
315576441	10	-10
315576442	10	-10
315576443	2.332	2.332
315576444	2.332	2.332
315576445	10	-10
315576446	10	-10
315576447	10	-10
315576448	3.802	3.802
315576449	3.802	3.802
315576450	10	-10
315576451	10	-10
315576452	10	-10
315576453	10	-10
315576454	10	-10
315576455	10	-10
315576456	10	-10
315576457	10	-10
315576458	4.866	4.866
315576459	4.866	4.866
315576460	10	-10
315576461	10	-10
315576462	10	-10
315576463	4.261	4.261
315576464	4.261	4.261
315576465	10	-10
315576466	10	-10
315576467	6.135	6.135
315576468	6.135	6.135
315576469	10	-10
315576470	10	-10
315576471	10	-10
315576472	10	-10
315576473	4.782	4.782
315576474	4.782	4.782
315576475	10	-10
315576476	10	-10
315576477	10	-10
315576478	3.971	3.971
315576479	3.971	3.971
315576480	10	-10
315576481	10	-10
315576482	10	-10
315576483	4.397	4.397
315576484	4.397	4.397
315576485	10	-10
315576486	10	-10
315576487	10	-10
315576488	3.367	3.367
315576489	3.367	3.367
315576490	10	-10
315576491	10	-10
315576492	10	-10
315576493	3.273	3.273
315576494	3.273	3.273
315576495	10	-10
315576496	10	-10
315576497	10	-10
315576498	2.524	2.524
315576499	2.524	2.524
315576500	10	-10
315576501	10	-10
315576502	10	-10
315576503	2.444	2.444
315576504	2.444	2.444
315576505	10	-10
315576506	10	-10
315576507	10	-10
315576508	3.386	3.386
315576509	3.386	3.386
315576510	10	-10
315576511	10	-10
315576512	10	-10
315576513	3.283	3.283
315576514	3.283	3.283
315576515	10	-10
315576516	10	-10
315576517	10	-10
315576518	3.549	3.549
315576519	3.549	3.549
315576520	10	-10
315576521	10	-10
315576522	10	-10
315576523	2.267	2.267
315576524	2.267	2.267
315576525	10	-10
315576526	10	-10
315576527	10	-10
315576528	2.421	2.421
315576529	2.421	2.421
315576530	10	-10
315576531	10	-10
315576532	10	-10
315576533	2.468	2.468
315576534	2.468	2.468
315576535	10	-10
315576536	10	-10
315576537	10	-10
315576538	2.744	2.744
315576539	2.744	2.744
315576540	10	-10
315576541	10	-10
315576542	10	-10
315576543	2.968	2.968
315576544	2.968	2.968
315576545	10	-10
315576546	10	-10
315576547	10	-10
315576548	3.545	3.545
315576549	3.545	3.545
315576550	10	-10
315576551	10	-10
315576552	10	-10
315576553	4.041	4.041
315576554	4.041	4.041
315576555	10	-10
315576556	10	-10
315576557	10	-10
315576558	10	-10
315576559	10	-10
315576560	10	-10
315576561	10	-10
315576562	10	-10
315576563	4.861	4.861
315576564	4.861	4.861
315576565	10	-10
315576566	10	-10
315576567	10	-10
315576568	4.936	4.936
315576569	4.936	4.936
315576570	10	-10
315576571	10	-10
315576572	10	-10
315576573	3.17	3.17
315576574	3.17	3.17
315576575	2.781	2.842
315576576	2.781	2.852
315576577	2.749	2.852
315576578	2.725	2.968
315576579	2.725	3.198
315576580	3.198	3.198
315576581	10	-10
315576582	10	-10
315576583	10	-10
315576584	10	-10
315576585	2.781	2.781
315576586	2.781	3.774
315576587	3.02	3.774
315576588	2.744	2.908
315576589	2.744	3.578
315576590	3.194	3.578
315576591	3.194	3.194
315576592	10	-10
315576593	3.802	3.802
315576594	3.802	3.802
315576595	10	-10
315576596	2.706	2.749
315576597	2.706	2.926
315576598	2.856	2.926
315576599	2.907	2.926
315576600	2.912	2.926
315576601	2.917	2.922
315576602	2.922	2.922
315576603	2.903	2.917
315576604	2.903	2.917
315576605	10	-10
315576606	10	-10
315576607	10	-10
315576608	2.912	2.912
315576609	2.912	2.912
315576610	10	-10
315576611	10	-10
315576612	10	-10
315576613	2.926	2.926
315576614	2.926	2.926
315576615	2.964	2.964
315576616	2.805	3.011
315576617	2.805	3.011
315576618	2.786	2.871
315576619	2.786	2.88
315576620	2.88	3.358
