315578598	1980-01-01 13:43:18	off
315578621	1980-01-01 13:43:41	on
315578622	1980-01-01 13:43:42	off
315578633	1980-01-01 13:43:53	on
315578634	1980-01-01 13:43:54	off
315578636	1980-01-01 13:43:56	on
315578637	1980-01-01 13:43:57	off
315578671	1980-01-01 13:44:31	on
315578673	1980-01-01 13:44:33	off
315578681	1980-01-01 13:44:41	on
315578685	1980-01-01 13:44:45	off
315578686	1980-01-01 13:44:46	on
315578691	1980-01-01 13:44:51	off
315578723	1980-01-01 13:45:23	on
315578729	1980-01-01 13:45:29	off
315578736	1980-01-01 13:45:36	on
315578741	1980-01-01 13:45:41	off
315578774	1980-01-01 13:46:14	on
315578776	1980-01-01 13:46:16	off
315578782	1980-01-01 13:46:22	on
315578791	1980-01-01 13:46:31	off
315578801	1980-01-01 13:46:41	on
